Designator,Mid X,Mid Y,Layer,Rotation
USB,31.1755,18.32,Bottom,270
U1,22.2898,14.2898,Bottom,90
R10,27.549,12.6642,Bottom,180
R9,27.549,8.4997,Bottom,180
R8,24.282,20.4633,Bottom,180
R7,18.4334,20.4633,Bottom,360
R6,16.8034,10.4924,Bottom,270
F2,27.2114,21.1286,Bottom,180
D8,26.4144,19.4708,Bottom,270
D7,27.8825,19.4708,Bottom,90
D6,27.8825,17.5462,Bottom,270
D5,22.3284,7.755,Bottom,360
C10,18.175,10.4924,Bottom,270
C9,18.166,18.3154,Bottom,90
C8,21.3577,20.4633,Bottom,360
C7,27.549,11.276,Bottom,180
C6,27.549,9.8879,Bottom,180
USB,31.1755,35.32,Bottom,270
U1,22.2898,31.2898,Bottom,90
R10,27.549,29.6642,Bottom,180
R9,27.549,25.4997,Bottom,180
R8,24.282,37.4633,Bottom,180
R7,18.4334,37.4633,Bottom,360
R6,16.8034,27.4924,Bottom,270
F2,27.2114,38.1286,Bottom,180
D8,26.4144,36.4708,Bottom,270
D7,27.8825,36.4708,Bottom,90
D6,27.8825,34.5462,Bottom,270
D5,22.3284,24.755,Bottom,360
C10,18.175,27.4924,Bottom,270
C9,18.166,35.3154,Bottom,90
C8,21.3577,37.4633,Bottom,360
C7,27.549,28.276,Bottom,180
C6,27.549,26.8879,Bottom,180
USB,31.1755,52.32,Bottom,270
U1,22.2898,48.2898,Bottom,90
R10,27.549,46.6642,Bottom,180
R9,27.549,42.4997,Bottom,180
R8,24.282,54.4633,Bottom,180
R7,18.4334,54.4633,Bottom,360
R6,16.8034,44.4924,Bottom,270
F2,27.2114,55.1286,Bottom,180
D8,26.4144,53.4708,Bottom,270
D7,27.8825,53.4708,Bottom,90
D6,27.8825,51.5462,Bottom,270
D5,22.3284,41.755,Bottom,360
C10,18.175,44.4924,Bottom,270
C9,18.166,52.3154,Bottom,90
C8,21.3577,54.4633,Bottom,360
C7,27.549,45.276,Bottom,180
C6,27.549,43.8879,Bottom,180
USB,31.1755,69.32,Bottom,270
U1,22.2898,65.2898,Bottom,90
R10,27.549,63.6642,Bottom,180
R9,27.549,59.4997,Bottom,180
R8,24.282,71.4633,Bottom,180
R7,18.4334,71.4633,Bottom,360
R6,16.8034,61.4924,Bottom,270
F2,27.2114,72.1286,Bottom,180
D8,26.4144,70.4708,Bottom,270
D7,27.8825,70.4708,Bottom,90
D6,27.8825,68.5462,Bottom,270
D5,22.3284,58.755,Bottom,360
C10,18.175,61.4924,Bottom,270
C9,18.166,69.3154,Bottom,90
C8,21.3577,71.4633,Bottom,360
C7,27.549,62.276,Bottom,180
C6,27.549,60.8879,Bottom,180
USB,31.1755,86.32,Bottom,270
U1,22.2898,82.2898,Bottom,90
R10,27.549,80.6642,Bottom,180
R9,27.549,76.4997,Bottom,180
R8,24.282,88.4633,Bottom,180
R7,18.4334,88.4633,Bottom,360
R6,16.8034,78.4924,Bottom,270
F2,27.2114,89.1286,Bottom,180
D8,26.4144,87.4708,Bottom,270
D7,27.8825,87.4708,Bottom,90
D6,27.8825,85.5462,Bottom,270
D5,22.3284,75.755,Bottom,360
C10,18.175,78.4924,Bottom,270
C9,18.166,86.3154,Bottom,90
C8,21.3577,88.4633,Bottom,360
C7,27.549,79.276,Bottom,180
C6,27.549,77.8879,Bottom,180
USB,50.1755,18.32,Bottom,270
U1,41.2898,14.2898,Bottom,90
R10,46.549,12.6642,Bottom,180
R9,46.549,8.4997,Bottom,180
R8,43.282,20.4633,Bottom,180
R7,37.4334,20.4633,Bottom,360
R6,35.8034,10.4924,Bottom,270
F2,46.2114,21.1286,Bottom,180
D8,45.4144,19.4708,Bottom,270
D7,46.8825,19.4708,Bottom,90
D6,46.8825,17.5462,Bottom,270
D5,41.3284,7.755,Bottom,360
C10,37.175,10.4924,Bottom,270
C9,37.166,18.3154,Bottom,90
C8,40.3577,20.4633,Bottom,360
C7,46.549,11.276,Bottom,180
C6,46.549,9.8879,Bottom,180
USB,50.1755,35.32,Bottom,270
U1,41.2898,31.2898,Bottom,90
R10,46.549,29.6642,Bottom,180
R9,46.549,25.4997,Bottom,180
R8,43.282,37.4633,Bottom,180
R7,37.4334,37.4633,Bottom,360
R6,35.8034,27.4924,Bottom,270
F2,46.2114,38.1286,Bottom,180
D8,45.4144,36.4708,Bottom,270
D7,46.8825,36.4708,Bottom,90
D6,46.8825,34.5462,Bottom,270
D5,41.3284,24.755,Bottom,360
C10,37.175,27.4924,Bottom,270
C9,37.166,35.3154,Bottom,90
C8,40.3577,37.4633,Bottom,360
C7,46.549,28.276,Bottom,180
C6,46.549,26.8879,Bottom,180
USB,50.1755,52.32,Bottom,270
U1,41.2898,48.2898,Bottom,90
R10,46.549,46.6642,Bottom,180
R9,46.549,42.4997,Bottom,180
R8,43.282,54.4633,Bottom,180
R7,37.4334,54.4633,Bottom,360
R6,35.8034,44.4924,Bottom,270
F2,46.2114,55.1286,Bottom,180
D8,45.4144,53.4708,Bottom,270
D7,46.8825,53.4708,Bottom,90
D6,46.8825,51.5462,Bottom,270
D5,41.3284,41.755,Bottom,360
C10,37.175,44.4924,Bottom,270
C9,37.166,52.3154,Bottom,90
C8,40.3577,54.4633,Bottom,360
C7,46.549,45.276,Bottom,180
C6,46.549,43.8879,Bottom,180
USB,50.1755,69.32,Bottom,270
U1,41.2898,65.2898,Bottom,90
R10,46.549,63.6642,Bottom,180
R9,46.549,59.4997,Bottom,180
R8,43.282,71.4633,Bottom,180
R7,37.4334,71.4633,Bottom,360
R6,35.8034,61.4924,Bottom,270
F2,46.2114,72.1286,Bottom,180
D8,45.4144,70.4708,Bottom,270
D7,46.8825,70.4708,Bottom,90
D6,46.8825,68.5462,Bottom,270
D5,41.3284,58.755,Bottom,360
C10,37.175,61.4924,Bottom,270
C9,37.166,69.3154,Bottom,90
C8,40.3577,71.4633,Bottom,360
C7,46.549,62.276,Bottom,180
C6,46.549,60.8879,Bottom,180
USB,50.1755,86.32,Bottom,270
U1,41.2898,82.2898,Bottom,90
R10,46.549,80.6642,Bottom,180
R9,46.549,76.4997,Bottom,180
R8,43.282,88.4633,Bottom,180
R7,37.4334,88.4633,Bottom,360
R6,35.8034,78.4924,Bottom,270
F2,46.2114,89.1286,Bottom,180
D8,45.4144,87.4708,Bottom,270
D7,46.8825,87.4708,Bottom,90
D6,46.8825,85.5462,Bottom,270
D5,41.3284,75.755,Bottom,360
C10,37.175,78.4924,Bottom,270
C9,37.166,86.3154,Bottom,90
C8,40.3577,88.4633,Bottom,360
C7,46.549,79.276,Bottom,180
C6,46.549,77.8879,Bottom,180
